id_publicacao,Duração,Visualizações,Tempo de exibição (horas),Taxa de cliques de impressões (%),Continuaram assistindo (%),Inscritos,sucesso
Quero saber - Genética da Conservação: o que é e para que serve?,1171.0,265,24.6227,6.4,,4,0
Lançamento do livro de 30 anos da EdUFSCar,6317.0,121,23.9128,2.74,,0,0
282ª Reunião Ordinária do Conselho Universitário,7192.0,90,22.9084,7.09,,0,0
UFSCar conta Sua História - Luiz Antônio Tonin,2354.0,324,22.0969,1.77,,0,0
Quero saber – Quais os tipos de assédio mais comuns?,173.0,845,22.0669,5.9,,10,0
ICC Entrevista - Prêmio Nobel de Literatura 2024,482.0,497,21.9238,1.66,,7,0
73ª Reunião Ordinária do Conselho de Administração - CoAd,7640.0,99,21.8781,2.4,,0,0
Quero saber - O que é Linguagem Simples?,546.0,405,21.7793,7.16,,11,0
"Quero saber - Acupuntura, fitoterápicos, aromaterapia: a que - e quem - servem as PICs no SUS?",1061.0,249,21.4551,7.56,,8,0
278ª Reunião Ordinária do ConsUni,14314.0,97,21.4531,1.94,,0,0
80ª Reunião Ordinária do CoACE,9492.0,78,21.4515,0.86,,2,0
Unidade Saúde Escola da UFSCar comemora 20 anos,805.0,479,21.1557,2.51,,0,0
"Max e sua turma em: Descobrindo o Mar - Episódio 3 – Vento quente, chuva fria",750.0,289,21.138,6.32,,1,0
Reitora da UFSCar fala de investimentos na consolidação dos 4 campi da UFSCar,851.0,247,19.9175,1.68,,2,0
Quero saber - O que faz um Gestor Ambiental?,60.0,2029,19.8118,3.4,69.77,7,0
Quero saber - Como e por que a transfobia mata?,843.0,336,19.774,4.36,,2,0
Anita no acervo de Prestes: histórias que viajam no tempo,60.0,1655,19.6114,3.13,81.33,8,0
Reunião Extraordinária do Conselho Universitário,10020.0,73,18.6364,2.19,,0,0
117ª Reunião Ordinária do CoG,12271.0,63,18.5663,0.74,,1,0
Quero saber - Gordofobia: é crime ou é bobagem?,810.0,361,18.5198,3.2,,4,0
Diálogos Avançados - Vida e Energia,6081.0,108,18.4488,1.04,,1,0
113ª Reunião Ordinária do Conselho de Graduação,11250.0,76,18.2752,2.02,,1,0
Quero saber - Livro didático em escola pública: presta ou não presta?,1195.0,252,17.8006,4.06,,6,0
2ª Sessão da 113ª Reunião Ordinária do Conselho de Graduação,8265.0,90,17.6925,3.45,,0,0
Quero saber – De onde surge e como se perpetua o machismo?,716.0,389,17.6328,5.1,,1,0
162a Reunião Ordinária do Conselho de Pós-Graduação da UFSCar,8424.0,104,17.5834,1.84,,-1,0
Conselhos Superiores - Sessão Pública de apuração dos votos,1457.0,218,17.5255,3.86,,2,0
"Diálogos Avançados - Urbanização Planetária, Ecologias e Desigualdades",7361.0,77,16.9847,1.02,,1,0
Inspirando Novas Gerações: O Papel da Educação na Construção de um Futuro Mais Justo,5568.0,91,16.9233,3.93,,1,0
2ª Sessão da 112ª Reunião Ordinária do CoG,6707.0,87,16.3977,1.08,,0,0
Projeto no Colégio de Aplicação da UFSCar envolve crianças na prática de compostagem,327.0,517,16.2676,0.82,,3,0
Reunião Conselho de Ações Afirmativas Diversidade e Equidade (CAADE),7208.0,94,16.204,0.92,,1,0
Conheça a FAI UFSCar!,389.0,386,16.159,4.71,,1,0
Constituição da cédula de votação e lista de votantes,1214.0,361,15.721,2.06,,1,0
I Encontro de pesquisas em terapia ocupacional  PPGTO - UFSCar (1º dia),30286.0,97,15.4099,3.11,,4,0
Quero saber - Esportes Paralímpicos,880.0,315,15.2329,3.53,,2,0
Feira do Livro EdUFSCar - Desbravando uma teoria incógnita: Debate sobre a educação soviética,6726.0,92,15.2094,3.19,,2,0
Live lançamento capacitação 4.0 - 2024,2387.0,146,14.59,1.3,,2,0
"Quero saber – Afinal, o que é ecoturismo?",90.0,776,14.536,10.0,,8,0
Sob o nascer do Sol - Vídeo 1,453.0,413,14.3484,1.47,,2,0
18a. Reunião Ordinária CoGePe,5676.0,83,13.96,1.81,,1,0
UFSCar conta Sua História - Elisabeth Márcia Martucci,2671.0,117,13.439,2.86,,0,0
UFSCar conta Sua História - Carlos Eduardo Santa Maria,3246.0,105,13.2223,2.6,,2,0
Ética na Pesquisa,57.0,750,12.9445,2.02,82.67,2,0
81ª Reunião Ordinária do CoACE,10043.0,71,12.8832,2.35,,0,0
I Encontro de pesquisas em terapia ocupacional PPGTO - UFSCar (2º dia),13216.0,74,12.8813,2.5,,0,0
112ª Reunião Ordinária do CoG,11983.0,109,12.6559,2.39,,0,0
115ª Reunião Ordinária do CoG,7183.0,69,12.5634,2.61,,0,0
Quero saber – O que é a Síndrome de Burnout?,637.0,205,12.4277,2.31,,2,0
