Conteúdo,Título do vídeo,Horário de publicação do vídeo,Duração,Visualizações intencionais,Duração média da visualização,Continuaram assistindo (%),Média de visualizações por espectador,Novos espectadores,Espectadores recorrentes,Visualizações,Tempo de exibição (horas),Inscritos,Impressões,Taxa de cliques de impressões (%)
iL-xUmp9xGs,Cerimônia solene de posse da Gestão 2025-2029,"Jan 18, 2025",8151,795,0:11:54,,,,,795,157.8427,4,10570,3.46
1vtg3NtBfgA,Conferência IEAE - Universidade para o futuro,"Sep 24, 2024",11876,410,0:20:45,,,,,410,141.8469,16,9573,1.81
u9nFodo3qZY,Conheça a UFSCar,"Jun 6, 2023",457,3506,0:02:21,,,,,3506,137.6067,17,30736,5.34
sgZBAnJIM8U,"#6 - Conheça como funciona a Eletroterapia, recurso fisioterapêutico usado com finalidades variadas","Feb 15, 2022",1100,1974,0:04:05,,,,,1974,134.3743,22,23115,3.44
PlKu1JPMcJ0,SEGrad: Mesa Redonda: A Utilização da Inteligência Artificial no Ensino de Graduação,"Nov 13, 2024",8508,453,0:16:18,,,,,453,123.0689,20,11564,1.52
4F2mnnVPEz0,"Abertura e Mesa: Ensino, Extensão e Pesquisa na UFSCar: um olhar para o futuro da indissociabilidade","Nov 12, 2024",9662,452,0:15:14,,,,,452,114.8186,7,7943,1.52
QAQ1U3gAyDE,SeGrad | UFSCar 2025: Interprofissionalidade no Ensino da Graduação,"Apr 30, 2025",11618,254,0:24:18,,,,,254,102.8727,9,5241,2.4
8qyDVo88fSY,Anita no acervo de Prestes: histórias que viajam no tempo,"Oct 30, 2023",1116,1122,0:05:17,,,,,1122,98.9941,17,4741,4.01
W1__9YBMAYc,Roda de conversa –  Ciência e Humano,"Sep 20, 2024",8393,288,0:19:31,,,,,288,93.7473,0,16342,0.67
7kboUIzK9RU,PIBID forma licenciandos para a docência em sala de aula,"Mar 9, 2023",408,1693,0:03:18,,,,,1693,93.3394,14,11540,6.92
PDvF70g6kpo,ICC Entrevista - Vera Cêpeda sobre o Prêmio Nobel de Economia 2024,"Oct 21, 2024",1565,791,0:06:36,,,,,791,87.2181,19,10972,4.19
jZVaCgOTn4s,Universidade para o Futuro - Os desafios para a Pós-Graduação,"May 26, 2025",9207,225,0:22:34,,,,,225,84.6446,4,1573,6.42
SkUIZ7l78J4,"ICC Entrevista - André Moura, sobre o Prêmio Nobel de Química 2024","Oct 10, 2024",2128,647,0:07:36,,,,,647,82.1215,19,12750,2.46
yrjJGBco2iE,Reunião Extraordinária do ConsUni,"May 30, 2025",11109,199,0:23:07,,,,,199,76.7177,1,1967,5.24
gg8gtDqfwI4,281ª Reunião Ordinária do Conselho Universitário,"Apr 25, 2025",14169,190,0:23:12,,,,,190,73.4846,2,2389,5.44
wEvT2v0rVdw,Quero saber - Quem tem Doença Pulmonar Obstrutiva Crônica deve praticar atividades físicas?,"Nov 20, 2023",338,1598,0:02:23,,,,,1598,63.659,27,17368,7.57
7gD8z-tutRI,279ª Reunião Ordinária do Conselho Universitário,"Dec 6, 2024",13223,163,0:23:19,,,,,163,63.358,0,1768,5.43
BWuHJW7cdlw,Palestra Bolsas de Estudos no Japão - MEXT 2026,"Apr 10, 2025",4519,397,0:09:09,,,,,397,60.5933,21,6775,1.74
Om4ajW2eXvM,116ª Reunião Ordinária do CoG,"Apr 8, 2025",12891,160,0:22:01,,,,,160,58.7186,0,6810,1.48
2E0iUL9ib9U,Como prevenir a violência nas escolas?,"Apr 19, 2023",7332,518,0:06:24,,,,,518,55.3751,8,1124,5.6
cY13zKtPZU8,Homenagem Prof. Elson Longo - A química em materiais: da teoria à inovação,"Apr 4, 2025",12762,252,0:13:06,,,,,252,55.0763,4,1980,3.84
fzVqOFstSXU,UFSCar conta Sua História - Oswaldo Baptista Duarte Filho,"Mar 13, 2025",4686,229,0:14:06,,,,,229,53.856,0,1821,3.29
D2PHt58ILxY,Quero saber – Ecoturismo é apenas o turismo na natureza?,"Jan 16, 2024",998,560,0:05:45,,,,,560,53.7077,10,3683,6.79
